,ags5,grow_shrink_cities,east_west,labor_market_type,settlement_structure_type_of_labor_market_region,district_settlement_structure,type_of_settlement_structure,urban_rural,metropolitan_region,support_area_status,eligible_area
0,1001,growing above average,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C,eligible for funding
1,1002,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,C/D,eligible for funding
2,1003,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,5,C/D,eligible for funding
3,1004,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,5,D,eligible for funding
4,1051,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C,eligible for funding
5,1053,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,5,D,eligible for funding
6,1054,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C,eligible for funding
7,1055,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,5,C,eligible for funding
8,1056,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,5,C/N,eligible for funding
9,1057,no clear direction of development,west,metropolitan areas with increased unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
10,1058,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
11,1059,growing above average,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C,eligible for funding
12,1060,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,5,N,not eligible for funding
13,1061,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C/D,eligible for funding
14,1062,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,5,N,not eligible for funding
15,2000,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,urban region,urban,5,N,not eligible for funding
16,3101,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
17,3102,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
18,3103,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
19,3151,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,N,not eligible for funding
20,3153,shrinking,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C,eligible for funding
21,3154,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C,eligible for funding
22,3155,shrinking,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,D,eligible for funding
23,3157,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
24,3158,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
25,3159,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,C/D,eligible for funding
26,3241,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
27,3251,growing,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
28,3252,shrinking,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
29,3254,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,D,eligible for funding
30,3255,shrinking,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C,eligible for funding
31,3256,no clear direction of development,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,sparsely populated rural district,urban region,rural,99,D,eligible for funding
32,3257,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,C,eligible for funding
33,3351,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,D,eligible for funding
34,3352,no clear direction of development,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,sparsely populated rural district,region with urbanization approaches,rural,5,C,eligible for funding
35,3353,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,rural region,urban,5,N,not eligible for funding
36,3354,shrinking,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C,eligible for funding
37,3355,growing,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,D,eligible for funding
38,3356,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,D,eligible for funding
39,3357,growing,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,N,not eligible for funding
40,3358,growing,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C,eligible for funding
41,3359,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,5,N,not eligible for funding
42,3360,no clear direction of development,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C,eligible for funding
43,3361,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
44,3401,growing,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
45,3402,growing,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
46,3403,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,D,eligible for funding
47,3404,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
48,3405,shrinking,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,C,eligible for funding
49,3451,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
50,3452,growing,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
51,3453,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
52,3454,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,N,not eligible for funding
53,3455,shrinking,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,C,eligible for funding
54,3456,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,N,not eligible for funding
55,3457,growing,west,dense districts with slightly above-average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
56,3458,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
57,3459,growing,west,dense districts with slightly below average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
58,3460,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
59,3461,shrinking,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,N,not eligible for funding
60,3462,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C,eligible for funding
61,4011,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,99,C/D,eligible for funding
62,4012,growing,west,metropolitan areas with very high unemployment,rural labor market region with consolidation approaches,urban urban district,region with urbanization approaches,urban,99,C,eligible for funding
63,5111,growing,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,urban region,urban,99,N,not eligible for funding
64,5112,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,D/N,eligible for funding
65,5113,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,D/N,eligible for funding
66,5114,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,urban region,urban,99,D,eligible for funding
67,5116,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,urban region,urban,99,C,eligible for funding
68,5117,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,D/N,eligible for funding
69,5119,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,D,eligible for funding
70,5120,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,99,D,eligible for funding
71,5122,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,99,D,eligible for funding
72,5124,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,99,D,eligible for funding
73,5154,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
74,5158,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
75,5162,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,6,N,not eligible for funding
76,5166,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,D/N,eligible for funding
77,5170,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,3,D,eligible for funding
78,5314,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban urban district,urban region,urban,6,N,not eligible for funding
79,5315,growing above average,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,urban region,urban,6,N,not eligible for funding
80,5316,no clear direction of development,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,urban region,urban,6,N,not eligible for funding
81,5334,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,D,eligible for funding
82,5358,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
83,5362,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,6,N,not eligible for funding
84,5366,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
85,5370,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,D,eligible for funding
86,5374,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,6,N,not eligible for funding
87,5378,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,6,N,not eligible for funding
88,5382,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,urban region,urban,6,N,not eligible for funding
89,5512,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,C,eligible for funding
90,5513,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,C,eligible for funding
91,5515,growing above average,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
92,5554,growing,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
93,5558,growing,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
94,5562,shrinking,west,metropolitan areas with very high unemployment,urban labor market region,urban district,urban region,urban,3,C/D,eligible for funding
95,5566,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
96,5570,no clear direction of development,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
97,5711,no clear direction of development,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,urban region,urban,99,D,eligible for funding
98,5754,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
99,5758,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,D,eligible for funding
100,5762,shrinking,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,D,eligible for funding
101,5766,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,99,D,eligible for funding
102,5770,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
103,5774,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
104,5911,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,C,eligible for funding
105,5913,growing,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,C,eligible for funding
106,5914,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,urban region,urban,3,C,eligible for funding
107,5915,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,D,eligible for funding
108,5916,no clear direction of development,west,metropolitan areas with very high unemployment,urban labor market region,urban urban district,urban region,urban,3,C,eligible for funding
109,5954,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,3,N,not eligible for funding
110,5958,shrinking,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
111,5962,shrinking above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
112,5966,shrinking,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
113,5970,growing,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
114,5974,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
115,5978,shrinking,west,metropolitan areas with very high unemployment,urban labor market region,urban district,urban region,urban,3,C/D,eligible for funding
116,6411,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,urban region,urban,4,N,not eligible for funding
117,6412,growing above average,west,metropolitan areas with increased unemployment,urban labor market region,urban urban district,urban region,urban,4,N,not eligible for funding
118,6413,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,urban region,urban,4,N,not eligible for funding
119,6414,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban urban district,urban region,urban,4,N,not eligible for funding
120,6431,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
121,6432,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
122,6433,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
123,6434,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
124,6435,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
125,6436,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
126,6437,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
127,6438,growing above average,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
128,6439,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
129,6440,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,4,N,not eligible for funding
130,6531,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban district,rural region,urban,4,D/N,eligible for funding
131,6532,no clear direction of development,west,dense districts with slightly below average unemployment,urban labor market region,urban district,rural region,urban,99,N,not eligible for funding
132,6533,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,rural region,urban,4,N,not eligible for funding
133,6534,growing,west,dense districts with slightly below average unemployment,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,N,not eligible for funding
134,6535,shrinking,west,dense districts with slightly below average unemployment,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,4,D,eligible for funding
135,6611,growing,west,dense districts with slightly above-average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
136,6631,growing,west,dense districts with industrial orientation and favorable labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,4,N,not eligible for funding
137,6632,no clear direction of development,west,dense districts with industrial orientation and favorable labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,D/N,eligible for funding
138,6633,no clear direction of development,west,dense districts with slightly above-average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
139,6634,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
140,6635,no clear direction of development,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,D,eligible for funding
141,6636,shrinking,west,dense districts with slightly above-average unemployment,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C,eligible for funding
142,7111,growing above average,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
143,7131,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,N,not eligible for funding
144,7132,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
