,ags5,grow_shrink_cities,east_west,labor_market_type,settlement_structure_type_of_labor_market_region,district_settlement_structure,type_of_settlement_structure,urban_rural,metropolitan_region,support_area_status,eligible_area
273,9473,no clear direction of development,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,8,N,not eligible for funding
274,9474,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,rural district with consolidation approaches,rural region,rural,8,N,not eligible for funding
275,9475,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,8,C/D,eligible for funding
276,9476,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,8,N,not eligible for funding
277,9477,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,N,not eligible for funding
278,9478,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,8,N,not eligible for funding
279,9479,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,C/D,eligible for funding
280,9561,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,N,not eligible for funding
281,9562,growing above average,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban urban district,urban region,urban,8,N,not eligible for funding
282,9563,growing above average,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban urban district,urban region,urban,8,N,not eligible for funding
283,9564,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban urban district,urban region,urban,8,N,not eligible for funding
284,9565,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,rural district with consolidation approaches,urban region,rural,8,N,not eligible for funding
285,9571,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,N,not eligible for funding
286,9572,growing,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban district,urban region,urban,8,N,not eligible for funding
287,9573,growing,west,dense districts with industrial orientation and favorable labor market situation,urban labor market region,urban district,urban region,urban,8,N,not eligible for funding
288,9574,growing,west,metropolitan areas with a favorable labor market situation,urban labor market region,urban district,urban region,urban,8,N,not eligible for funding
289,9575,growing,west,dense districts with industrial orientation and favorable labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,N,not eligible for funding
290,9576,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,rural district with consolidation approaches,urban region,rural,8,N,not eligible for funding
291,9577,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,N,not eligible for funding
292,9661,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban district,rural region,urban,4,N,not eligible for funding
293,9662,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,N,not eligible for funding
294,9663,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban urban district,region with urbanization approaches,urban,99,N,not eligible for funding
295,9671,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban district,rural region,urban,4,N,not eligible for funding
296,9672,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,N,not eligible for funding
297,9673,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,N,not eligible for funding
298,9674,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,N,not eligible for funding
299,9675,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,8,N,not eligible for funding
300,9676,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban district,rural region,urban,4,N,not eligible for funding
301,9677,shrinking,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,N,not eligible for funding
302,9678,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,N,not eligible for funding
303,9679,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban district,region with urbanization approaches,urban,99,N,not eligible for funding
304,9761,growing above average,west,dense districts with slightly below average unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,1,N,not eligible for funding
305,9762,growing above average,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,1,N,not eligible for funding
306,9763,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,N,not eligible for funding
307,9764,growing above average,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,N,not eligible for funding
308,9771,growing,west,dense districts with slightly below average unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,1,N,not eligible for funding
309,9772,growing,west,dense districts with slightly below average unemployment,urban labor market region,urban district,region with urbanization approaches,urban,1,N,not eligible for funding
310,9773,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,1,N,not eligible for funding
311,9774,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,N,not eligible for funding
312,9775,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban district,rural region,urban,99,N,not eligible for funding
313,9776,growing above average,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",urban labor market region,urban district,rural region,urban,99,N,not eligible for funding
314,9777,growing above average,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,1,N,not eligible for funding
315,9778,growing above average,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,N,not eligible for funding
316,9779,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,1,N,not eligible for funding
317,9780,growing,west,"low density, rural districts with a favorable labor market situation and high seasonal dynamics",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,N,not eligible for funding
318,10041,no clear direction of development,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,D/N,eligible for funding
319,10042,no clear direction of development,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
320,10043,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,C/D,eligible for funding
321,10044,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,C/D,eligible for funding
322,10045,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
323,10046,shrinking,west,dense districts with slightly below average unemployment,urban labor market region,urban district,urban region,urban,99,N,not eligible for funding
324,11000,growing above average,east,metropolitan areas in the east with very high unemployment,urban labor market region,urban urban district,urban region,urban,2,C/D,eligible for funding
325,12051,growing,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,2,C*,eligible for funding
326,12052,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,rural district with consolidation approaches,rural region,rural,2,C**,eligible for funding
327,12053,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C**,eligible for funding
328,12054,growing above average,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,urban urban district,rural region,urban,2,C*,eligible for funding
329,12060,growing,east,rural districts in the east with a very poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,2,C**,eligible for funding
330,12061,growing above average,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
331,12062,shrinking above average,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
332,12063,growing above average,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
333,12064,no clear direction of development,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C**,eligible for funding
334,12065,growing above average,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
335,12066,shrinking above average,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
336,12067,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C**,eligible for funding
337,12068,no clear direction of development,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
338,12069,growing,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,2,C*,eligible for funding
339,12070,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
340,12071,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,rural district with consolidation approaches,rural region,rural,2,C**,eligible for funding
341,12072,growing above average,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C*,eligible for funding
342,12073,shrinking,east,rural districts in the east with a very poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,2,C**,eligible for funding
343,13003,growing,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,urban urban district,rural region,urban,99,C*,eligible for funding
344,13004,no clear direction of development,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
345,13071,shrinking,east,rural districts in the east with a very poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
346,13072,no clear direction of development,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
347,13073,no clear direction of development,east,rural districts in the east with a very poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
348,13074,no clear direction of development,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,rural district with consolidation approaches,rural region,rural,5,C*,eligible for funding
349,13075,shrinking,east,rural districts in the east with a very poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C**,eligible for funding
350,13076,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,5,C*,eligible for funding
351,14511,growing,east,metropolitan areas in the east with very high unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,7,C*,eligible for funding
352,14521,shrinking above average,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,urban district,region with urbanization approaches,urban,99,C*,eligible for funding
353,14522,shrinking above average,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C*,eligible for funding
354,14523,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C*,eligible for funding
355,14524,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,urban district,region with urbanization approaches,urban,7,C*,eligible for funding
356,14612,growing,east,metropolitan areas in the east with very high unemployment,urban labor market region,urban urban district,urban region,urban,99,C*,eligible for funding
357,14625,shrinking above average,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
358,14626,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C**,eligible for funding
359,14627,shrinking,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,urban region,rural,99,C*,eligible for funding
360,14628,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,rural district with consolidation approaches,urban region,rural,99,C*,eligible for funding
361,14713,growing above average,east,metropolitan areas in the east with very high unemployment,urban labor market region,urban urban district,urban region,urban,7,C,eligible for funding
362,14729,shrinking,east,rural districts in the east with poor labor market situation,urban labor market region,rural district with consolidation approaches,urban region,rural,7,C,eligible for funding
363,14730,shrinking,east,rural districts in the east with poor labor market situation,urban labor market region,sparsely populated rural district,urban region,rural,99,C,eligible for funding
364,15001,shrinking above average,east,rural districts in the east with poor labor market situation,urban labor market region,rural district with consolidation approaches,rural region,rural,7,C*,eligible for funding
365,15002,growing,east,metropolitan areas in the east with very high unemployment,urban labor market region,urban urban district,region with urbanization approaches,urban,7,C*,eligible for funding
366,15003,growing,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,urban urban district,rural region,urban,99,C*,eligible for funding
367,15081,shrinking,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
368,15082,shrinking above average,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
369,15083,shrinking above average,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
370,15084,shrinking,east,rural districts in the east with a very poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,7,C*,eligible for funding
371,15085,shrinking,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
372,15086,shrinking,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
373,15087,shrinking above average,east,rural districts in the east with a very poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C*,eligible for funding
374,15088,shrinking,east,metropolitan areas in the east with very high unemployment,urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,7,C*,eligible for funding
375,15089,shrinking above average,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
376,15090,shrinking,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
377,15091,shrinking above average,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,7,C*,eligible for funding
378,16051,growing,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,urban urban district,region with urbanization approaches,urban,99,C*,eligible for funding
379,16052,shrinking,east,rural districts in the east with poor labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,7,C*,eligible for funding
380,16053,no clear direction of development,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,urban urban district,region with urbanization approaches,urban,7,C*,eligible for funding
381,16054,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
382,16055,no clear direction of development,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,urban district,region with urbanization approaches,urban,99,C*,eligible for funding
383,16056,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
384,16061,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,rural district with consolidation approaches,rural region,rural,99,C*,eligible for funding
385,16062,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
386,16063,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
387,16064,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
388,16065,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
389,16066,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
390,16067,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,99,C*,eligible for funding
391,16068,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C*,eligible for funding
392,16069,shrinking above average,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,99,C*,eligible for funding
393,16070,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C*,eligible for funding
394,16071,no clear direction of development,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,urban district,region with urbanization approaches,urban,99,C*,eligible for funding
395,16072,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,rural region,rural,8,C*,eligible for funding
396,16073,shrinking above average,east,"low density districts in the east with high unemployment, partly border areas to the west",sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C*,eligible for funding
397,16074,shrinking,east,"low density districts in the east with high unemployment, partly border areas to the west",urban labor market region,rural district with consolidation approaches,region with urbanization approaches,rural,99,C*,eligible for funding
398,16075,shrinking above average,east,rural districts in the east with poor labor market situation,sparsely populated rural labor market region,sparsely populated rural district,region with urbanization approaches,rural,99,C*,eligible for funding
399,16076,shrinking,east,rural districts in the east with poor labor market situation,urban labor market region,urban district,region with urbanization approaches,urban,99,C*,eligible for funding
400,16077,shrinking above average,east,rural districts in the east with poor labor market situation,rural labor market region with consolidation approaches,rural district with consolidation approaches,region with urbanization approaches,rural,7,C*,eligible for funding
