_id,ags2,bundesland,ags5,kreis,kr_amr,kr_ead,kr_land,kr_mz,kr_oz,kr_ror,kr_rbp,kr_wa_schr_kl,kr_amt_kl,kr_grw_fg_kl,kr_sr_am_kl,kr_rl_kl,kr_ssk_kl,kr_ssr_kl,kr_stla_kl,kr_mra_kl,kr_mrb_kl,kr_wo_kl,kr_grenze
1,01,Schleswig-Holstein,01001,"Flensburg, Stadt",4,2309.4,0.0,0,1,102,13724.8,5,5,1,3,2,4,3,2,99,99,1,1
2,01,Schleswig-Holstein,01002,"Kiel, Landeshauptstadt",6,3112.1,0.0,0,1,101,22801.3,4,2,4,1,2,1,2,1,99,99,1,0
3,01,Schleswig-Holstein,01003,"Lübeck, Hansestadt",5,1453.6,0.0,0,1,103,22491.1,4,5,4,1,1,1,2,1,5,99,1,0
4,01,Schleswig-Holstein,01004,"Neumünster, Stadt",6,1644.7,0.0,0,1,101,26086.9,4,5,6,1,2,3,2,2,5,99,1,0
5,01,Schleswig-Holstein,01051,Dithmarschen,2,121.9,74.2,2,0,105,11103.3,4,5,1,3,4,4,3,2,5,99,1,0
6,01,Schleswig-Holstein,01053,Herzogtum Lauenburg,7,192.6,36.3,3,0,104,35798.8,4,4,6,2,2,3,2,2,5,99,1,0
7,01,Schleswig-Holstein,01054,Nordfriesland,1,107.9,76.1,1,0,102,7571.4,4,5,1,3,4,4,3,2,99,99,1,1
8,01,Schleswig-Holstein,01055,Ostholstein,5,196.4,31.5,1,0,103,14248.5,5,5,1,1,2,3,2,2,5,99,1,0
9,01,Schleswig-Holstein,01056,Pinneberg,8,607.3,8.2,3,0,104,63951.7,5,4,5,1,1,2,2,1,5,99,1,0
10,01,Schleswig-Holstein,01057,Plön,6,135.6,41.1,0,0,101,20895.5,3,2,6,1,3,3,2,2,99,99,1,0
11,01,Schleswig-Holstein,01058,Rendsburg-Eckernförde,6,159.7,59.6,2,0,101,21612.1,4,5,6,1,3,3,2,2,99,99,1,0
12,01,Schleswig-Holstein,01059,Schleswig-Flensburg,4,122.7,74.3,1,0,102,13392.4,5,5,1,3,3,4,3,2,99,99,1,1
13,01,Schleswig-Holstein,01060,Segeberg,8,262.9,31.5,4,0,104,40897.1,5,4,8,1,2,3,2,2,5,99,1,0
14,01,Schleswig-Holstein,01061,Steinburg,3,160.5,64.0,1,0,105,25043.0,4,5,4,3,2,4,3,2,5,99,1,0
15,01,Schleswig-Holstein,01062,Stormarn,8,449.2,15.2,4,0,104,60121.8,5,4,8,1,1,2,2,1,5,99,1,0
16,02,Hamburg,02000,Hamburg,8,3685.3,0.0,0,1,201,33860.9,4,2,8,1,1,1,1,1,5,99,1,0
17,03,Niedersachsen,03101,Braunschweig,9,1950.4,0.0,0,1,301,29349.4,3,5,8,1,1,1,2,1,99,3,1,0
18,03,Niedersachsen,03102,Salzgitter,10,676.9,0.0,0,1,301,30081.6,4,5,8,1,2,1,2,1,99,3,1,0
19,03,Niedersachsen,03103,Wolfsburg,11,1186.8,0.0,0,1,301,20809.1,4,4,8,1,2,1,2,1,99,3,1,0
20,03,Niedersachsen,03151,Gifhorn,11,137.9,53.2,2,0,301,19593.0,5,4,8,1,3,4,2,2,99,3,1,0
21,03,Niedersachsen,03153,Goslar,13,188.3,8.7,4,0,301,18503.9,2,5,1,2,3,3,2,2,99,3,1,0
22,03,Niedersachsen,03154,Helmstedt,14,168.4,46.1,0,0,301,22366.2,4,4,1,2,2,3,2,2,99,3,1,0
23,03,Niedersachsen,03155,Northeim,15,140.2,69.7,4,0,305,19428.0,2,5,6,3,3,4,2,2,99,3,1,0
24,03,Niedersachsen,03157,Peine,9,306.9,16.1,1,0,301,37747.7,4,5,8,1,2,2,2,1,99,3,1,0
25,03,Niedersachsen,03158,Wolfenbüttel,9,200.0,45.7,1,0,301,29675.7,4,5,8,1,2,3,2,2,99,3,1,0
26,03,Niedersachsen,03159,Göttingen,12,259.6,18.5,3,1,305,19863.7,4,5,4,1,2,2,2,1,99,3,1,0
27,03,Niedersachsen,03241,Hannover,17,719.2,7.3,10,1,307,41283.4,4,2,8,1,1,2,1,1,99,3,1,0
28,03,Niedersachsen,03251,Diepholz,18,143.0,51.3,4,0,302,22530.1,4,4,8,3,2,3,2,2,99,2,1,0
29,03,Niedersachsen,03252,Hameln-Pyrmont,19,250.3,24.7,2,0,308,29962.4,2,5,6,2,2,3,2,2,99,3,1,0
30,03,Niedersachsen,03254,Hildesheim,20,303.8,24.3,2,1,308,33195.3,4,5,6,1,2,2,2,1,99,3,1,0
31,03,Niedersachsen,03255,Holzminden,21,133.7,51.1,1,0,305,21397.6,2,5,1,3,3,4,2,2,99,3,1,0
32,03,Niedersachsen,03256,Nienburg/Weser,22,114.3,74.0,1,0,307,21459.7,3,4,6,3,3,4,1,2,99,3,1,0
33,03,Niedersachsen,03257,Schaumburg,23,299.0,9.1,4,0,307,34347.7,4,5,1,1,2,2,1,1,99,3,1,0
34,03,Niedersachsen,03351,Celle,24,151.5,46.6,0,1,313,19381.7,4,5,6,3,3,4,3,2,99,3,1,0
35,03,Niedersachsen,03352,Cuxhaven,43,118.5,75.5,2,0,303,17065.9,3,4,1,2,3,4,2,2,5,2,1,0
36,03,Niedersachsen,03353,Harburg,8,250.7,26.6,3,0,306,45959.4,5,4,8,1,2,2,3,1,5,99,1,0
37,03,Niedersachsen,03354,Lüchow-Dannenberg,29,50.8,100.0,1,0,309,6978.2,2,4,1,3,4,4,3,2,5,99,1,0
38,03,Niedersachsen,03355,Lüneburg,25,180.4,35.9,0,1,309,20774.3,4,4,6,3,2,4,3,2,5,99,1,0
39,03,Niedersachsen,03356,Osterholz,42,212.4,25.5,1,0,302,35498.4,4,3,6,1,2,2,2,1,99,2,1,0
40,03,Niedersachsen,03357,Rotenburg (Wümme),26,105.4,86.7,3,0,306,21501.9,4,4,8,3,3,4,3,2,5,99,1,0
41,03,Niedersachsen,03358,Heidekreis,27,98.5,91.6,3,0,313,16666.2,4,5,1,3,3,4,3,2,5,3,1,0
42,03,Niedersachsen,03359,Stade,28,207.3,39.7,2,0,306,33085.4,4,4,8,2,3,3,3,2,5,99,1,0
43,03,Niedersachsen,03360,Uelzen,29,83.4,63.7,1,0,309,12408.2,3,4,1,3,3,4,3,2,5,99,1,0
44,03,Niedersachsen,03361,Verden,30,231.5,34.4,2,0,302,26050.1,4,4,8,2,2,3,2,2,99,2,1,0
45,03,Niedersachsen,03401,Delmenhorst,42,1570.5,0.0,1,0,302,47752.4,4,5,6,1,2,3,2,2,99,2,1,0
46,03,Niedersachsen,03402,Emden,31,753.0,0.0,1,0,312,15783.7,4,5,6,2,3,3,2,2,99,99,1,1
47,03,Niedersachsen,03403,Oldenburg,33,2409.1,0.0,0,1,310,25764.7,5,5,6,1,2,1,2,1,99,2,1,0
48,03,Niedersachsen,03404,Osnabrück,34,2145.9,0.0,0,1,311,33581.0,5,4,8,1,1,1,2,1,99,99,1,0
49,03,Niedersachsen,03405,Wilhelmshaven,35,990.4,0.0,0,1,312,13429.5,2,5,1,1,3,2,2,1,99,2,1,0
50,03,Niedersachsen,03451,Ammerland,32,226.3,27.6,3,0,310,23183.7,5,5,8,1,2,2,2,1,99,2,1,0
51,03,Niedersachsen,03452,Aurich,31,194.6,32.0,2,0,312,13801.2,4,5,6,2,3,3,2,2,99,99,1,1
52,03,Niedersachsen,03453,Cloppenburg,36,162.6,71.7,2,0,310,18563.5,4,7,8,2,3,3,2,2,99,2,1,0
53,03,Niedersachsen,03454,Emsland,37,158.2,60.9,3,0,304,19068.6,4,7,8,3,3,4,3,2,99,99,1,1
54,03,Niedersachsen,03455,Friesland,35,208.3,30.3,2,0,312,16137.1,2,5,1,1,3,2,2,1,99,2,1,2
55,03,Niedersachsen,03456,Grafschaft Bentheim,38,187.4,49.4,1,0,304,27958.4,4,7,8,3,2,4,3,2,99,99,1,1
56,03,Niedersachsen,03457,Leer,39,198.2,24.0,1,0,312,18459.5,4,5,6,2,3,3,2,2,99,99,1,1
57,03,Niedersachsen,03458,Oldenburg,33,154.6,60.9,1,0,310,29211.2,5,5,6,1,2,3,2,2,99,2,1,0
58,03,Niedersachsen,03459,Osnabrück,34,226.3,34.6,4,0,311,29879.2,4,4,8,1,2,3,2,2,99,2,1,0
59,03,Niedersachsen,03460,Vechta,40,257.8,29.6,2,0,311,20993.3,4,7,8,2,2,3,2,2,99,2,1,0
60,03,Niedersachsen,03461,Wesermarsch,41,143.2,45.7,2,0,303,24914.2,2,5,8,3,3,4,2,2,99,2,1,0
61,03,Niedersachsen,03462,Wittmund,35,110.1,100.0,1,0,312,12993.2,3,5,1,1,3,4,2,2,99,99,1,1
62,04,Bremen,04011,Bremen,42,2578.6,0.0,0,1,401,27084.8,4,3,4,1,1,1,1,1,99,2,1,0
63,04,Bremen,04012,Bremerhaven,43,1765.2,0.0,0,1,303,17004.8,4,3,1,2,2,1,2,1,99,2,1,0
64,05,Nordrhein-Westfalen,05111,Düsseldorf,45,4721.4,0.0,0,1,508,139242.2,4,2,8,1,1,1,1,1,99,1,1,0
65,05,Nordrhein-Westfalen,05112,Duisburg,46,2874.4,0.0,0,1,507,131087.8,4,3,7,1,1,1,1,1,3,1,1,2
66,05,Nordrhein-Westfalen,05113,Essen,47,3917.8,0.0,0,1,507,155904.2,4,3,7,1,1,1,1,1,3,1,1,0
67,05,Nordrhein-Westfalen,05114,Krefeld,48,2307.6,0.0,0,1,508,124896.7,4,5,6,1,1,1,1,1,99,1,1,2
68,05,Nordrhein-Westfalen,05116,Mönchengladbach,50,2103.5,0.0,0,1,508,89313.9,4,5,1,1,1,1,1,1,99,1,1,2
69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,47,2529.5,0.0,1,0,507,174292.5,4,3,7,1,1,1,1,1,3,1,1,0
70,05,Nordrhein-Westfalen,05119,Oberhausen,46,3577.1,0.0,1,0,507,150666.2,3,3,6,1,1,1,1,1,3,1,1,0
71,05,Nordrhein-Westfalen,05120,Remscheid,54,2086.4,0.0,1,0,508,121941.6,3,3,6,1,1,1,1,1,99,1,1,0
72,05,Nordrhein-Westfalen,05122,Solingen,52,2355.5,0.0,1,0,508,152059.7,4,3,6,1,1,1,1,1,99,1,1,0
73,05,Nordrhein-Westfalen,05124,Wuppertal,52,2841.0,0.0,0,1,508,139817.0,4,3,6,1,1,1,1,1,99,1,1,0
74,05,Nordrhein-Westfalen,05154,Kleve,55,332.0,9.7,5,0,507,58170.0,4,4,8,1,1,2,1,1,99,99,1,1
75,05,Nordrhein-Westfalen,05158,Mettmann,45,1646.1,0.0,10,0,508,170300.5,4,4,8,1,1,2,1,1,99,1,1,0
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,45,1031.7,0.0,6,0,508,132514.9,4,5,8,1,1,2,1,1,6,1,1,2
77,05,Nordrhein-Westfalen,05166,Viersen,49,688.7,0.0,6,0,508,90671.1,4,5,7,1,1,2,1,1,99,1,1,1
78,05,Nordrhein-Westfalen,05170,Wesel,46,569.4,5.9,9,0,507,85169.6,2,4,6,1,1,2,1,1,3,1,1,2
79,05,Nordrhein-Westfalen,05314,Bonn,59,3537.7,0.0,0,1,505,75450.1,4,1,8,1,1,1,1,1,6,1,1,0
80,05,Nordrhein-Westfalen,05315,Köln,57,4034.0,0.0,0,1,510,95178.6,5,2,8,1,1,1,1,1,6,1,1,0
81,05,Nordrhein-Westfalen,05316,Leverkusen,58,2867.1,0.0,1,0,510,151670.0,3,4,8,1,1,1,1,1,6,1,1,0
82,05,Nordrhein-Westfalen,05334,Aachen,56,1080.3,4.9,7,1,501,56860.0,3,5,6,1,1,2,1,1,99,99,1,1
83,05,Nordrhein-Westfalen,05358,Düren,60,366.7,11.6,2,0,501,66898.5,3,5,8,1,1,2,1,1,99,99,1,2
84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,57,859.6,0.0,9,0,510,104146.3,4,5,8,1,1,2,1,1,6,1,1,0
85,05,Nordrhein-Westfalen,05366,Euskirchen,61,199.1,30.4,3,0,501,36186.5,4,5,8,1,1,2,1,1,99,99,1,1
86,05,Nordrhein-Westfalen,05370,Heinsberg,51,513.7,0.0,6,0,501,75464.2,4,5,6,1,1,2,1,1,99,99,1,1
87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,62,409.2,0.0,5,0,510,69888.6,4,4,8,1,1,2,1,1,6,1,1,0
88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,57,815.2,0.0,3,0,510,121517.7,4,4,8,1,1,2,1,1,6,1,1,0
89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,59,654.5,0.0,11,0,505,76063.5,4,1,8,1,1,2,1,1,6,1,1,0
90,05,Nordrhein-Westfalen,05512,Bottrop,63,1500.0,0.0,1,0,509,162390.1,3,3,1,1,1,1,1,1,3,1,1,2
91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,63,3226.6,0.0,1,0,509,152137.1,3,3,1,1,1,1,1,1,3,1,1,0
92,05,Nordrhein-Westfalen,05515,Münster,64,1577.0,0.0,0,1,511,37480.5,5,1,8,1,1,1,2,1,99,99,1,0
93,05,Nordrhein-Westfalen,05554,Borken,65,360.3,6.2,6,0,511,46122.8,4,6,8,1,1,2,2,1,99,99,1,1
94,05,Nordrhein-Westfalen,05558,Coesfeld,64,257.4,17.1,3,0,511,56515.5,4,6,8,1,1,2,2,1,99,99,1,2
95,05,Nordrhein-Westfalen,05562,Recklinghausen,63,1024.7,0.0,10,0,509,106200.3,2,3,4,1,1,2,1,1,3,1,1,2
96,05,Nordrhein-Westfalen,05566,Steinfurt,66,335.1,14.5,7,0,511,35737.6,4,4,8,1,2,2,2,1,99,99,1,2
97,05,Nordrhein-Westfalen,05570,Warendorf,64,278.4,22.2,4,0,511,45228.3,3,1,8,1,2,2,2,1,99,99,1,0
98,05,Nordrhein-Westfalen,05711,Bielefeld,67,1869.0,0.0,0,1,503,43695.5,3,4,6,1,1,1,1,1,99,99,1,0
99,05,Nordrhein-Westfalen,05754,Gütersloh,68,552.1,0.0,4,0,503,47704.0,4,4,8,1,1,2,1,1,99,99,1,0
100,05,Nordrhein-Westfalen,05758,Herford,67,763.0,0.0,4,0,503,48345.0,4,4,6,1,1,2,1,1,99,99,1,0
101,05,Nordrhein-Westfalen,05762,Höxter,44,154.6,57.1,6,0,512,20803.4,2,4,6,2,3,3,2,2,99,99,1,0
102,05,Nordrhein-Westfalen,05766,Lippe,69,368.6,17.4,7,0,503,37836.0,3,5,6,1,2,2,1,1,99,99,1,0
103,05,Nordrhein-Westfalen,05770,Minden-Lübbecke,70,379.5,17.3,6,0,503,31160.3,4,4,8,1,2,2,1,1,99,99,1,0
104,05,Nordrhein-Westfalen,05774,Paderborn,71,338.2,17.5,2,1,512,30035.0,4,4,8,1,2,2,2,1,99,99,1,0
105,05,Nordrhein-Westfalen,05911,Bochum,72,3402.2,0.0,0,1,504,153694.1,3,3,1,1,1,1,1,1,3,1,1,0
106,05,Nordrhein-Westfalen,05913,Dortmund,73,2914.5,0.0,0,1,506,102714.7,4,3,1,1,1,1,1,1,3,1,1,0
107,05,Nordrhein-Westfalen,05914,Hagen,74,1605.6,0.0,0,1,504,104858.6,3,5,1,1,1,1,1,1,3,1,1,0
108,05,Nordrhein-Westfalen,05915,Hamm,73,1046.6,0.0,1,0,506,57123.1,3,3,6,1,1,1,1,1,3,1,1,0
109,05,Nordrhein-Westfalen,05916,Herne,63,3904.5,0.0,1,0,504,154420.6,3,3,1,1,1,1,1,1,3,1,1,0
110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,53,1050.5,0.0,8,0,504,141232.6,3,5,8,1,1,2,1,1,3,1,1,0
111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,76,186.3,67.6,7,0,502,24733.6,2,4,8,2,2,3,2,2,99,99,1,0
112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,75,540.3,1.7,8,0,504,67006.2,1,4,8,1,1,2,1,1,99,1,1,0
113,05,Nordrhein-Westfalen,05966,Olpe,78,269.7,8.6,3,0,513,35282.9,2,6,8,1,2,2,2,1,99,99,1,0
114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,77,346.3,14.4,4,1,513,27442.7,4,6,8,1,2,2,2,1,99,99,1,0
115,05,Nordrhein-Westfalen,05974,Soest,79,309.2,18.8,5,0,502,38237.8,4,4,8,1,2,2,2,1,99,99,1,0
116,05,Nordrhein-Westfalen,05978,Unna,73,956.4,0.0,7,0,506,90832.0,2,3,4,1,1,2,1,1,3,1,1,0
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,94,2123.6,0.0,0,1,605,79369.0,5,4,8,1,1,1,1,1,4,99,1,0
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,92,5282.5,0.0,0,1,604,83893.6,5,2,8,1,1,1,1,1,4,99,1,0
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,92,3877.7,0.0,0,1,604,107448.9,5,5,8,1,1,1,1,1,4,99,1,0
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,91,2024.1,0.0,0,1,604,70397.3,4,1,8,1,1,1,1,1,4,99,1,0
121,06,Hessen,06431,Bergstraße,130,474.9,5.2,6,0,605,64742.2,4,4,8,1,1,2,1,1,4,4,1,0
122,06,Hessen,06432,Darmstadt-Dieburg,94,562.6,0.0,5,0,605,70887.9,4,4,8,1,1,2,1,1,4,99,1,0
123,06,Hessen,06433,Groß-Gerau,92,815.5,0.0,3,0,605,87193.3,4,1,8,1,1,2,1,1,4,99,1,0
124,06,Hessen,06434,Hochtaunus,92,681.9,5.0,6,0,604,74921.2,4,1,8,1,1,2,1,1,4,99,1,0
125,06,Hessen,06435,Main-Kinzig,93,394.5,13.3,7,1,604,37992.9,4,4,8,1,1,2,1,1,4,99,1,0
126,06,Hessen,06436,Main-Taunus,92,1508.1,0.0,8,0,604,104007.7,4,1,8,1,1,2,1,1,4,99,1,0
127,06,Hessen,06437,Odenwaldkreis,95,198.3,21.9,2,0,605,44455.3,2,4,8,1,2,2,1,1,4,99,1,0
128,06,Hessen,06438,Offenbach,92,1330.4,0.0,10,0,604,96171.0,5,5,8,1,1,2,1,1,4,99,1,0
129,06,Hessen,06439,Rheingau-Taunus,91,284.8,12.4,6,0,604,53425.1,4,1,8,1,2,2,1,1,4,99,1,0
130,06,Hessen,06440,Wetterau,92,354.1,10.6,6,0,604,49623.6,4,4,8,1,1,2,1,1,4,99,1,0
131,06,Hessen,06531,Gießen,89,423.6,10.2,4,1,601,34272.5,5,4,7,1,2,2,3,1,4,99,1,0
132,06,Hessen,06532,Lahn-Dill,88,324.7,14.5,3,1,601,34047.2,3,4,8,1,2,2,3,1,99,99,1,0
133,06,Hessen,06533,Limburg-Weilburg,90,303.7,12.1,2,0,601,40537.3,4,4,8,1,2,2,3,1,4,99,1,0
134,06,Hessen,06534,Marburg-Biedenkopf,85,266.7,20.1,4,1,601,23100.5,4,4,8,2,2,3,3,2,99,99,1,0
135,06,Hessen,06535,Vogelsberg,86,94.7,100.0,2,0,601,18729.6,2,4,6,3,3,4,3,2,4,99,1,0
